600,Time (s),0.026,0.026,0.041,0.026,0.044,0.026
,PAPI_L1_DCM,6905048,6904111,6903764,6904115,6246566,6906358
,PAPI_L1_ICM,4147,4124,4295,4183,3606,4621
,PAPI_L1_TCM,6909195,6908235,6908059,6908298,6250172,6910979
,PAPI_L2_DCM,252218,255325,236656,236262,249807,271499
,PAPI_L2_ICM,2582,2653,2805,2659,2241,3012
,PAPI_L2_TCM,254800,257978,239461,238921,252048,274511
,PAPI_L3_DCA,252218,255325,236656,236262,249807,271499
,PAPI_L3_ICA,2582,2653,2805,2659,2241,3012
,PAPI_TOT_INS,221532384,221845712,223005632,221815987,222965076,222283205
,,,,
,,,,
1000,Time (s),0.179,0.184,0.169,0.178,0.175,0.176
,PAPI_L1_DCM,31928554,32058498,31973629,31971946,31969664,31935423
,PAPI_L1_ICM,7652,8322,7987,8695,8136,7946
,PAPI_L1_TCM,31936206,32066820,31981616,31980641,31977800,31943369
,PAPI_L2_DCM,16233266,15801448,14401937,14951518,16120211,17636790
,PAPI_L2_ICM,6095,6706,6376,7133,6590,6451
,PAPI_L2_TCM,16239361,15808154,14408313,14958651,16126801,17643241
,PAPI_L3_DCA,16233266,15801448,14401937,14951518,16120211,17636790
,PAPI_L3_ICA,6095,6706,6376,7133,6590,6451
,PAPI_TOT_INS,1015424214,1015492991,1013416206,1015511696,1015498698,1015498185
,,,,
,,,,
1400,Time (s),0.710,0.655,0.706,0.601,0.710,0.710
,PAPI_L1_DCM,87266316,87305282,87454171,87544274,87561216,87511552
,PAPI_L1_ICM,11556,11549,11750,11737,11547,10906
,PAPI_L1_TCM,87277872,87316831,87465921,87556011,87572763,87522458
,PAPI_L2_DCM,34722597,37815351,34498369,40304098,34041573,33723473
,PAPI_L2_ICM,9958,9983,9962,10030,10018,9352
,PAPI_L2_TCM,34732555,37825334,34508331,40314128,34051591,33732825
,PAPI_L3_DCA,34722597,37815351,34498369,40304098,34041573,33723473
,PAPI_L3_ICA,9958,9983,9962,10030,10018,9352
,PAPI_TOT_INS,2771003025,2772246260,2772230300,2772246612,2772225460,2770168933
,,,,
,,,,
1800,Time (s),1.661,1.766,1.061,1.060,1.069,1.675
,PAPI_L1_DCM,188714547,188310970,187984112,188518832,188565281,189146334
,PAPI_L1_ICM,17663,17729,16515,16795,17029,17697
,PAPI_L1_TCM,188732210,188328699,188000627,188535627,188582310,189164031
,PAPI_L2_DCM,127946340,128729440,110915123,110933553,110919194,132127798
,PAPI_L2_ICM,16223,16267,15053,15393,15468,16150
,PAPI_L2_TCM,127962563,128745707,110930176,110948946,110934662,132143948
,PAPI_L3_DCA,127946340,128729440,110915123,110933553,110919194,132127798
,PAPI_L3_ICA,16223,16267,15053,15393,15468,16150
,PAPI_TOT_INS,5879334416,5879173447,5877234847,5877233791,5877234328,5878874522
,,,,
,,,,
2200,Time (s),2.000,1.990,2.401,1.983,1.984,2.853
,PAPI_L1_DCM,522802396,522897025,519875948,525027462,519339625,520294394
,PAPI_L1_ICM,23895,24754,24512,23889,24537,23934
,PAPI_L1_TCM,522826291,522921779,519900460,525051351,519364162,520318328
,PAPI_L2_DCM,190452519,194852846,166065389,196096706,197273949,138735067
,PAPI_L2_ICM,22318,23040,22913,22374,22947,22193
,PAPI_L2_TCM,190474837,194875886,166088302,196119080,197296896,138757260
,PAPI_L3_DCA,190452519,194852846,166065389,196096706,197273949,138735067
,PAPI_L3_ICA,22318,23040,22913,22374,22947,22193
,PAPI_TOT_INS,10714462044,10712384578,10716507697,10712379849,10712388422,10712383382
,,,,
,,,,
2600,Time (s),3.399,3.380,3.595,4.156,3.414,4.126
,PAPI_L1_DCM,1110412791,1110507551,1111666471,1111415858,1110457440,1104190853
,PAPI_L1_ICM,34077,34545,35631,33386,34749,34767
,PAPI_L1_TCM,1110446868,1110542096,1111702102,1111449244,1110492189,1104225620
,PAPI_L2_DCM,301908823,298937256,296651640,256312907,300985590,258297058
,PAPI_L2_ICM,32366,32817,33957,31764,33163,33170
,PAPI_L2_TCM,301941189,298970073,296685597,256344671,301018753,258330228
,PAPI_L3_DCA,301908823,298937256,296651640,256312907,300985590,258297058
,PAPI_L3_ICA,32366,32817,33957,31764,33163,33170
,PAPI_TOT_INS,17667929806,17665851040,17667951235,17667455581,17669993686,17670029973
,,,,
,,,,
3000,Time (s),5.137,5.747,6.062,6.369,6.547,6.475
,PAPI_L1_DCM,1705422217,1706902548,1706126089,1708434001,1706130990,1705716575
,PAPI_L1_ICM,47523,46998,46488,47494,47637,46897
,PAPI_L1_TCM,1705469740,1706949546,1706172577,1708481495,1706178627,1705763472
,PAPI_L2_DCM,464783776,433901152,393788248,389445097,380647767,388187861
,PAPI_L2_ICM,45972,45232,44822,45803,45941,45087
,PAPI_L2_TCM,464829748,433946384,393833070,389490900,380693708,388232948
,PAPI_L3_DCA,464783776,433901152,393788248,389445097,380647767,388187861
,PAPI_L3_ICA,45972,45232,44822,45803,45941,45087
,PAPI_TOT_INS,27119564632,27119564565,27121637507,27123737561,27121637625,27121637588
,,,,
,,,,
